nominee_id,nominee_name,nominator_id,nominator_name,year,type
8746,"Hermann Staudinger",9296,"Niilo J Toivonen",1947,C
8746,"Hermann Staudinger",9296,"Niilo J Toivonen",1949,C
8746,"Hermann Staudinger",9296,"Niilo J Toivonen",1931,C
8746,"Hermann Staudinger",9296,"Niilo J Toivonen",1953,C
8746,"Hermann Staudinger",13461,"E Adler",1953,C
8746,"Hermann Staudinger",7924,"Oskari Routola",1932,C
8746,"Hermann Staudinger",7924,"Oskari Routola",1931,C
8746,"Hermann Staudinger",9309,"Eero Tommila",1948,C
8746,"Hermann Staudinger",9309,"Eero Tommila",1949,C
8746,"Hermann Staudinger",9309,"Eero Tommila",1950,C
8746,"Hermann Staudinger",9309,"Eero Tommila",1951,C
8746,"Hermann Staudinger",9309,"Eero Tommila",1947,C
8746,"Hermann Staudinger",9309,"Eero Tommila",1946,C
8746,"Hermann Staudinger",9309,"Eero Tommila",1952,C
8746,"Hermann Staudinger",9309,"Eero Tommila",1953,C
8746,"Hermann Staudinger",10597,"Terje Enkvist",1953,C
8746,"Hermann Staudinger",9402,"Pauli Tuorila",1950,C
8746,"Hermann Staudinger",9402,"Pauli Tuorila",1947,C
8746,"Hermann Staudinger",9402,"Pauli Tuorila",1949,C
8746,"Hermann Staudinger",9402,"Pauli Tuorila",1948,C
8746,"Hermann Staudinger",10241,"Adolf O Windaus",1949,C
8746,"Hermann Staudinger",5765,"Felix Machatschki",1950,C
8746,"Hermann Staudinger",10513,"Kurt Buch",1951,C
8746,"Hermann Staudinger",10513,"Kurt Buch",1952,C
8746,"Hermann Staudinger",1487,"Adolf F Butenandt",1953,C
8746,"Hermann Staudinger",1487,"Adolf F Butenandt",1952,C
8746,"Hermann Staudinger",1487,"Adolf F Butenandt",1951,C
8746,"Hermann Staudinger",4907,"Fredrik W Klingstedt",1935,C
8746,"Hermann Staudinger",4907,"Fredrik W Klingstedt",1932,C
8746,"Hermann Staudinger",4907,"Fredrik W Klingstedt",1931,C
8746,"Hermann Staudinger",8885,"Hermann Suida",1935,C
8746,"Hermann Staudinger",10498,"Olof Samuelson",1952,C
8746,"Hermann Staudinger",10498,"Olof Samuelson",1953,C
8746,"Hermann Staudinger",5185,"Ole Lamm",1947,C
8746,"Hermann Staudinger",10515,"P Kirjakka",1952,C
8746,"Hermann Staudinger",8262,"G V Schulz",1951,C
8746,"Hermann Staudinger",10471,"Nils Gralén",1952,C
8746,"Hermann Staudinger",10471,"Nils Gralén",1953,C
8746,"Hermann Staudinger",6962,"John Palmén",1952,C
8746,"Hermann Staudinger",6962,"John Palmén",1951,C
8746,"Hermann Staudinger",10657,"Georg Wittig",1951,C
8746,"Hermann Staudinger",9668,"Artturi I Virtanen",1951,C
8746,"Hermann Staudinger",9668,"Artturi I Virtanen",1947,C
8746,"Hermann Staudinger",9668,"Artturi I Virtanen",1946,C
8746,"Hermann Staudinger",4402,"W Hückel",1951,C
