nominee_name	Sum - n_nominations	Count - nominator_name	Min - nominee_NP_C
Josef Engl	1	1	0
Joseph Chatt	1	1	0
Joseph M Eder	10	10	0
Joseph Massolle	1	1	0
Joseph Mattauch	2	1	0
Joseph Oakland Hirschfelder	1	1	0
Joseph W Kennedy	1	1	0
Julius Bredt	1	1	0
K G Denbigh	1	1	0
K Hannig	1	1	0
K I Pitzer	1	1	0
K Yamafuji	3	3	0
Kai Manne Börje Siegbahn 	2	2	0
Kaj Ulrik Linderstrøm-Lang 	4	4	0
Karl A Folkers	6	6	0
Karl Johann Freudenberg	24	19	0
Karl Miescher	1	1	0
Karl Paul Link	2	2	0
Karl von Auwers	4	4	0
Karl W Ziegler	32	24	1
Karl-Friedrich O Bonhoeffer	4	4	0
Karl-Wolfgang Mundry	1	1	0
Karol Olszewski	1	1	0
Kasimir Fajans	6	6	0
Kenneth Sanborn Pitzer	6	5	0
Klaus Biemann	3	2	0
Klaus Clusius	39	23	0
Knut J Beskow	1	1	0
Konrad Bloch	5	2	0
Konstantin Antonovich Petrzhak	1	1	0
Kristian Birkeland	9	6	0
Kurt Alder	7	4	1
Kurt Bennewitz	1	1	0
Kurt Peters	1	1	0
L E Mortenson	1	1	0
L Velluz	1	1	0
Lars Gunnar Sillén	3	2	0
Lars Onsager	45	38	1
László Zechmeister	1	1	0
Laurens L.M. van Deenen	1	1	0
Leo Szilard	1	1	0
Leon Marchlewski	2	2	0
Leopold Ruzicka	22	21	1
Leslie E Orgel	2	2	0
Linus C Pauling	65	50	1
Lise Meitner	19	10	0
Louis B Werner	1	1	0
Louis C Maillard	1	1	0
Louis F Fieser	2	2	0
Louis Néel	2	2	0
Louis Plack Hammett	17	15	0
Ludwig August Wilhelm Geilmann	1	1	0
Luis Federico Leloir	36	18	1
Lyman C Craig	30	7	0
M B Allen	1	1	0
M Ballester	1	1	0
M Delhaye	1	1	0
M Grosjean	1	1	0
M J Chedin	1	1	0
M Julia	1	1	0
M Legrand	1	1	0
Maclyn McCarty	1	1	0
Manfred Eigen	31	22	1
Marc Tiffeneau	1	1	0
Marcellin Berthelot	12	11	0
Marguerite Perey	5	5	0
Maria Goeppert-Mayer	1	1	0
Marie Curie	2	2	1
Marietta Blau	1	1	0
Marshall Warren Nirenberg	16	13	0
Martha C Chase	1	1	0
Martin David Kamen	14	10	0
Martin Deutsch	1	1	0
Martinus W Beijerinck	2	1	0
Maurice Hugh Frederick Wilkins	2	2	0
Maurice Piettre	1	1	0
Maurice Stacey	1	1	0
Maurice-Marie M Janot	1	1	0
Max Bergmann	2	1	0
Max Bodenstein	15	7	0
Max Ferdinand Perutz	15	11	1
Max Mousseron	1	1	0
Max Rudolf Lemberg	1	1	0
Max Volmer	9	4	0
Melville Lawrence Wolfrom	1	1	0
Melvin Calvin	24	19	1
Michael J Heidelberger	4	3	0
Michael Polanyi	6	5	0
Mikhail Tsvet	1	1	0
Morris S Kharasch	21	13	0
Moses Gomberg	16	16	0
Moses Kunitz	2	2	0
Neil Bartlett	45	37	0
Niels Bjerrum	2	2	0
Niels Bohr	2	2	0
Nikodem Caro	3	2	0
Nikolay Markovich Emanuel	1	1	0
Nikolay Nikolaevich Semenov	7	4	1
Nikolay Vasilyevich Belov	1	1	0
Noel B Slater	1	1	0
Norman W Pirie	1	1	0
O K Davtjan	1	1	0
O Westphal	1	1	0
Odd Hassel	18	10	1
Öjvind Winge	1	1	0
Olaf Hammarsten	1	1	0
Ossian Aschan	7	3	0
Oswald Theodore Avery	1	1	0
Otto Fischer	1	1	0
Otto H Warburg	3	3	0
Otto Hahn	23	11	1
Otto Hönigschmid	1	1	0
Otto Kratky	12	9	0
Otto P Diels	32	16	1
Otto Robert Frisch	2	1	0
Otto Ruff	13	5	0
Otto W Schönherr	2	2	0
Otto Wallach	5	5	1
P A Rebinder	1	1	0
P C Zamecnik	1	1	0
Paul Charpentier	1	1	0
Paul Doughty Bartlett 	1	1	0
Paul Ehrlich	1	1	0
Paul Harteck	2	2	0
