_id,first_nomin_y,last_nomin_y,range_y,n_nominations,nominator_NP,nominator_id,nominator_name,nominee_NP,nominee_id,nominee_name,nominee_NP_C
633db537c1ae1691ad071b83,1906,1906,0,1,,4063,Louis Henry,C in 1906|,6352,Henri Moissan,1
633db537c1ae1691ad071b85,1906,1906,0,1,,5373,Philipp E.A. v. Lenard,C in 1906|,6352,Henri Moissan,1
633db537c1ae1691ad071b86,1904,1904,0,1,,5554,Adriaan Lobry de Bruyn,C in 1906|,6352,Henri Moissan,1
633db537c1ae1691ad071b87,1905,1905,0,1,,1845,Per T Cleve,C in 1906|,6352,Henri Moissan,1
633db537c1ae1691ad071b8a,1905,1905,0,1,,1416,Waldemar Brögger,C in 1906|,6352,Henri Moissan,1
633db537c1ae1691ad071b8c,1906,1906,0,1,,4880, ,C in 1906|,6352,Henri Moissan,1
633db537c1ae1691ad071b8d,1905,1905,0,1,,3517,Heinrich Goldschmidt,C in 1906|,6352,Henri Moissan,1
633db537c1ae1691ad071b8e,1905,1905,0,1,,6302,Jules Minguin,C in 1906|,6352,Henri Moissan,1
633db537c1ae1691ad071b8f,1905,1905,0,1,,6205,Nikolai Meshchutkin,C in 1906|,6352,Henri Moissan,1
633db537c1ae1691ad071b90,1905,1905,0,1,C in 1902|,3022,Emil H Fischer,C in 1906|,6352,Henri Moissan,1
633db537c1ae1691ad071b91,1905,1905,0,1,,840,August Bélohoubek,C in 1906|,6352,Henri Moissan,1
633db537c1ae1691ad071b92,1905,1905,0,1,,1217,Charles J Bouchard,C in 1906|,6352,Henri Moissan,1
633db537c1ae1691ad071b94,1906,1906,0,1,,2080,Vincenz A Czerny,C in 1906|,6352,Henri Moissan,1
633db537c1ae1691ad071b95,1905,1905,0,1,,14107, Member of the Nobel Committee for chemistry,C in 1906|,6352,Henri Moissan,1
633db537c1ae1691ad071b96,1905,1905,0,1,,8134,Eduard Schaer,C in 1906|,6352,Henri Moissan,1
633db537c1ae1691ad071b97,1905,1905,0,1,,3722,Antoine Guntz,C in 1906|,6352,Henri Moissan,1
633db537c1ae1691ad071b98,1905,1905,0,1,,9690,Johan Vogt,C in 1906|,6352,Henri Moissan,1
633db537c1ae1691ad071b99,1905,1905,0,1,,14112,Paul Thiébault Muller,C in 1906|,6352,Henri Moissan,1
633db537c1ae1691ad071b9a,1904,1904,0,1,,3585,Carl Graebe,C in 1906|,6352,Henri Moissan,1
633db537c1ae1691ad071b9b,1905,1905,0,1,,4195,Thorstein Hiortdahl,C in 1906|,6352,Henri Moissan,1
633db537c1ae1691ad071b9c,1905,1905,0,1,,7913,Viktor Rothmund,C in 1906|,6352,Henri Moissan,1
633db537c1ae1691ad071b9d,1904,1904,0,1,,4225,Edvard Hjelt,C in 1906|,6352,Henri Moissan,1
633db537c1ae1691ad071b9e,1905,1905,0,1,,2998,Michele Fileti,C in 1906|,6352,Henri Moissan,1
633db537c1ae1691ad071b9f,1904,1904,0,1,,521,Ossian Aschan,C in 1906|,6352,Henri Moissan,1
633db537c1ae1691ad071b84,1905,1906,1,2,C in 1905|,9713,Adolf J von Baeyer,C in 1906|,6352,Henri Moissan,1
633db537c1ae1691ad071b93,1905,1906,1,2,,7871,Johan O Rosenberg,C in 1906|,6352,Henri Moissan,1
633db537c1ae1691ad071b8b,1903,1905,2,2,,5971,Eleutère Mascart,C in 1906|,6352,Henri Moissan,1
633db537c1ae1691ad071b89,1903,1906,3,4,C in 1904|,7552,Sir William Ramsay,C in 1906|,6352,Henri Moissan,1
633db537c1ae1691ad071b88,1901,1905,4,5,,949,Marcellin Berthelot,C in 1906|,6352,Henri Moissan,1
