nominee_id,nominee_name,year_NP,n nomin,range,NP
15629,Jerome L Karle,1985,1,0,1
8800,Alfred Stock,None,1,0,0
2408,Henri Devaux,None,1,0,0
15598,M Julia,None,1,0,0
11158,Helmut Zahn,None,1,0,0
10836,A Lüttringhaus,None,1,0,0
1811,Stig M Claesson,None,1,0,0
10412,Theodor Zincke,None,1,0,0
10050,Fritz Weigert,None,1,0,0
14655,Erika Cremer,None,1,0,0
6456,Henry G Moseley,None,1,0,0
1276,Sir William Henry Bragg,None,1,0,0
2142,Charles G Darwin,None,1,0,0
10666,Rolf Huisgen,None,1,0,0
1825,Frank W Clarke,None,1,0,0
4054,Victor Henri,None,1,0,0
8754,Harry Steenbock,None,1,0,0
10508,W Jost,None,1,0,0
15608,Gaston Charlot,None,1,0,0
10472,C Manneback,None,1,0,0
2632,George M Dyson,None,1,0,0
7722,Friedrich Richter,None,1,0,0
14619,Richard Alan Morton,None,1,0,0
10800,Paul Charpentier,None,1,0,0
10493,Melville Lawrence Wolfrom,None,1,0,0
10820,Tadeusz Urba?ski,None,1,0,0
2713,Paul Ehrlich,None,1,0,0
15572,H Witt,None,1,0,0
14284,Jean Lecomte,None,1,0,0
14278,Edwin Theodore Mertz,None,1,0,0
13090,Jacques Monod,None,1,0,0
15586,Konstantin Antonovich Petrzhak,None,1,0,0
3420,Wolcott Gibbs,None,1,0,0
10330,René Wurmser,None,1,0,0
4121,Jacob Heslinga,None,1,0,0
6219,Henri Meulen,None,1,0,0
4402,W Hückel,None,1,0,0
5467,Carl Liebermann,None,1,0,0
3082,Fritz Foerster,None,1,0,0
13330,Laurens L.M. van Deenen,None,1,0,0
8248,Werner Schulemann,None,1,0,0
14666,James Baddiley,None,1,0,0
14711,Hans Tuppy,None,1,0,0
6550,Erich Müller,None,1,0,0
4303,Sir Frederick G Hopkins,None,1,0,0
3895,Charles R Harington,None,1,0,0
13999,L E Mortenson,None,1,0,0
14000,R C Valentine,None,1,0,0
14001,J E Carnahan,None,1,0,0
10109,Arne Westgren,None,1,0,0
10622,Maria Goeppert-Mayer,None,1,0,0
4269,Arnold F Holleman,None,1,0,0
5263,Wendell M Latimer,None,1,0,0
14294,K I Pitzer,None,1,0,0
6738,Emilio Noelting,None,1,0,0
13993,Jacques Bénard,None,1,0,0
15580,Adolphe Van Tiggelen,None,1,0,0
13930,S G Mason,None,1,0,0
13059,John Monteath Robertson,None,1,0,0
10539,Johannes Hans Daniel Jensen,None,1,0,0
10593,Henrik Gunnar Lundegårdh,None,1,0,0
1974,Charles D Coryell,None,1,0,0
3848,Olaf Hammarsten,None,1,0,0
8709,Ernst Späth,None,1,0,0
13029,Dionyz Ilkovic,None,1,0,0
7022,Emanuele Paterno,None,1,0,0
9339,Thérèse Tréfouël,None,1,0,0
1495,Gladwyn A Buttle,None,1,0,0
3376,S A Geigy,None,1,0,0
5729,Paul Läuger,None,1,0,0
1238,Emile Bourquelot,None,1,0,0
4794,Joseph W Kennedy,None,1,0,0
4117,Eugen Herzfeld,None,1,0,0
10979,Arthur Kornberg,None,1,0,0
14637,A R Tourky,None,1,0,0
15675,John Charles Polanyi,None,1,0,0
6783,Arthur Amos Noyes,None,1,0,0
2462,Edward C Dodds,None,1,0,0
15653,David Mervyn Blow,None,1,0,0
15654,David Chilton Phillips,None,1,0,0
9021,Hugh S Taylor,None,1,0,0
15612,Boris Vladimirovich Derjagin,None,1,0,0
641,Herbert B Baker,None,1,0,0
1866,Ernst Cohen,None,1,0,0
5319,Paul M Lebeau,None,1,0,0
1316,Julius Bredt,None,1,0,0
872,Kurt Bennewitz,None,1,0,0
15548,Franz Sondheimer,None,1,0,0
10553,Maurice Stacey,None,1,0,0
3033,Otto Fischer,None,1,0,0
13025,P A Rebinder,None,1,0,0
4016,George W Heise,None,1,0,0
13012,James Baddiley,None,1,0,0
3822,Bernard N Halpern,None,1,0,0
4597,Paul Job,None,1,0,0
10818,Alexandre Vladimiravitche Palladine,None,1,0,0
707,George Barger,None,1,0,0
14742,L Velluz,None,1,0,0
14743,M Legrand,None,1,0,0
14745,M Grosjean,None,1,0,0
6573,Jens Möller,None,1,0,0
15676,Charles Gilbert Overberger ,None,1,0,0
15565,Eugene I Rabinowitch,None,1,0,0
13071,Nikolay Vasilyevich Belov,None,1,0,0
14274,J M Buchanan,None,1,0,0
10806,Theodor Förster,None,1,0,0
14276,K Hannig,None,1,0,0
4212,Joseph Oakland Hirschfelder,None,1,0,0
10948,Gopalasamudram Narayanan Ramachandran,None,1,0,0
10234,Edgar Bright Wilson Jr.,None,1,0,0
13087,Karl-Wolfgang Mundry,None,1,0,0
8202,Ernst Schmidt,None,1,0,0
7511,Paul Rabe,None,1,0,0
8127,George Scatchard,None,1,0,0
15646,H. T. F. Wieland,None,1,0,0
4122,Alfred Hess,None,1,0,0
1314,Georg Bredig,None,1,0,0
15526,F P Bundy,None,1,0,0
13042,Noel B Slater,None,1,0,0
11141,Pierre Van Rysselberghe,None,1,0,0
9818,Edmund von Lippmann,None,1,0,0
10573,Georges Lemaître,None,1,0,0
2711,Felix Ehrlich,None,1,0,0
15677,H M Frey,None,1,0,0
15678,J Hine,None,1,0,0
15679,W Kirmse,None,1,0,0
7725,Sir Eric Keightley Rideal,None,1,0,0
921,Sune K Bergström,None,1,0,0
6821,Giuseppe Oddo,None,1,0,0
4862,Albert Kirrmann,None,1,0,0
13027,Ludwig August Wilhelm Geilmann,None,1,0,0
10090,Louis B Werner,None,1,0,0
8706,Walthère Spring,None,1,0,0
769,Frederick C Bawden,None,1,0,0
7273,Norman W Pirie,None,1,0,0
1515,Jacob Böeseken,None,1,0,0
14728,Aharon Katzir-Katchalsky,None,1,0,0
3008,Colin G Fink,None,1,0,0
1289,Edouard Branly,None,1,0,0
2054,George O Curme,None,1,0,0
5423,Phoebus A Levene,None,1,0,0
11161,Efraim Racker,None,1,0,0
15652,A van Dorp,None,1,0,0
13058,Ernst Klenk,None,1,0,0
3023,Franz Fischer,None,1,0,0
8227,Rudolf Schoenheimer,None,1,0,0
4995,Albrecht Kossel,None,1,0,0
8957,Leo Szilard,None,1,0,0
14656,E H Taylor,None,1,0,0
14657,S Datz,None,1,0,0
2780,Gustav G Embden,None,1,0,0
9999,Edward W Washburn,None,1,0,0
13343,E Stenhagen,None,1,0,0
13976,Geoffrey Ingram Taylor,None,1,0,0
14585,M Ballester,None,1,0,0
8579,Zdenko H Skraup,None,1,0,0
7155,Kurt Peters,None,1,0,0
4271,Bror Holmberg,None,1,0,0
15614,Nikolay Markovich Emanuel,None,1,0,0
1070,Marietta Blau,None,1,0,0
13217,Charles Wagner,None,1,0,0
4876,Fredrik Kjellin,None,1,0,0
14707,Eugene George Rochow,None,1,0,0
10740,Boris A Arbuzov,None,1,0,0
6861,Karol Olszewski,None,1,0,0
4789,Edward C Kendall,None,1,0,0
6270,Karl Miescher,None,1,0,0
13900,Ulick Richardson Evans ,None,1,0,0
13892,Paul Doughty Bartlett ,None,1,0,0
10880,John O’Mara Bockris,None,1,0,0
10263,Johannes Wislicenus,None,1,0,0
10218,Edgar Bright Wilson Jr.,None,1,0,0
4429,Otto Hönigschmid,None,1,0,0
1459,Wilhelm Gerhard Burgers,None,1,0,0
14310,C L Vernet,None,1,0,0
14311,B Lainé,None,1,0,0
14312,J Filosa,None,1,0,0
9541,Johannes J van Laar,None,1,0,0
10822,R M Barrer,None,1,0,0
13057,Gunnar Blix,None,1,0,0
2213,Hilaire de Chardonnet,None,1,0,0
4702,Bogdan Kamienski,None,1,0,0
10384,László Zechmeister,None,1,0,0
1994,Charles A Coulson,None,1,0,0
15509,Horace Albert Barker,None,1,0,0
3941,Sachachiro Hata,None,1,0,0
10542,Walter Houser Brattain,None,1,0,0
15666,Herbert Spencer Harned,None,1,0,0
13377,P C Zamecnik,None,1,0,0
5819,Louis C Maillard,None,1,0,0
2252,Gustaf de Laval,None,1,0,0
10743,Ernest F Gale,None,1,0,0
10744,Joan P Folkes,None,1,0,0
14613,Max Rudolf Lemberg,None,1,0,0
1336,Percy W Bridgman,None,1,0,0
9928,Arthur C Wahl,None,1,0,0
3826,John W Hamaker,None,1,0,0
8488,Glenn E Sheline,None,1,0,0
14277,J F Hyde,None,1,0,0
3457,Piero Ginori-Conti,None,1,0,0
14735,B E Cross,None,1,0,0
14736,Y Sumiki,None,1,0,0
14737,T Yabuta,None,1,0,0
9266,Marc Tiffeneau,None,1,0,0
10656,Gunter Scheibe,None,1,0,0
1647,Torbjörn O Caspersson,None,1,0,0
10826,G L Stadnikov,None,1,0,0
13990,J Jacob,None,1,0,0
14691,A.O.C Nier,None,1,0,0
10992,Frederick D Rossini,None,1,0,0
10993,M J Chedin,None,1,0,0
929,John Desmond Bernal,None,1,0,0
14695,E Ochiai,None,1,0,0
1026,Arthur Binz,None,1,0,0
8003,Curt Räth,None,1,0,0
11099,Josef Engl,None,1,0,0
11100,Joseph Massolle,None,1,0,0
11101,Hans Vogt,None,1,0,0
14626,Giorgio Piccardi,None,1,0,0
7123,Isadore Perlman,None,1,0,0
4860,Paul L Kirk,None,1,0,0
14685,Eugene Patrick Kennedy,None,1,0,0
14615,J J Lingane,None,1,0,0
10745,Friedrich Emil Brauns,None,1,0,0
2427,Gerhard Dickel,None,1,0,0
11000,David E Green,None,1,0,0
574,Oswald Theodore Avery,None,1,0,0
10839,Colin Munro MacLeod,None,1,0,0
10840,Maclyn McCarty,None,1,0,0
10807,Max Mousseron,None,1,0,0
13897,O K Davtjan,None,1,0,0
10985,Francis Owen Rice,None,1,0,0
11112,Martha C Chase,None,1,0,0
2320,André Debierne,None,1,0,0
961,Knut J Beskow,None,1,0,0
7543,Arthur Ramén,None,1,0,0
7243,Maurice Piettre,None,1,0,0
6646,Costin D Nenitzescu,None,1,0,0
4213,Edmund L Hirst,None,1,0,0
5495,Samuel C Lind,None,1,0,0
15532,H J Emeléus,None,1,0,0
1872,Edwin J Cohn,None,1,0,0
15568,John Monteath Robertson,None,1,0,0
3898,William D Harkins,None,1,0,0
13066,Stanley Bruckenstein,None,1,0,0
14738,Bernard Lewis,None,1,0,0
14198,J B Zeldovic,None,1,0,0
14725,I Zvara,None,1,0,0
14671,K G Denbigh,None,1,0,0
1144,William A Bone,None,1,0,0
4997,Walther Kossel,None,1,0,0
290,Philip H Abelson,None,1,0,0
10850,A Guinier,None,1,0,0
9389,Mikhail Tsvet,None,1,0,0
3834,Hartog J Hamburger,None,1,0,0
15528,R Calas,None,1,0,0
7754,David Rittenberg,None,1,0,0
882,Andrew A Benson,None,1,0,0
1869,Salomon S Cohen,None,1,0,0
14727,O Westphal,None,1,0,0
14648,George Wald,None,1,0,0
11096,Howard Cary,None,1,0,0
11097,Arnold Orville Beckman,None,1,0,0
4917,Rudolf Knietsch,None,1,0,0
14658,M B Allen,None,1,0,0
14659,F R Whatley,None,1,0,0
14300,G H de Haas,None,1,0,0
14768,H Schmid,None,1,0,0
6584,David Nachmansohn,None,1,0,0
14688,B M Kozyrev,None,1,0,0
